"Type"	"Neural_pop"	"Genes_map_step1"	"Genes_map_step2"	"DV"	"DV_Color"	"Step1_Color"	"Step2_Color"
"Mesoderm II"		"Foxc2"				"#4CCF84"	
"Mesoderm III"		"Twist1"				"#4CCF84"	
"Mesoderm IV"		"Twist2"				"#4CCF84"	
"Mesoderm V"		"Meox1"				"#4CCF84"	
"Mesoderm VI"		"Meox2"				"#4CCF84"	
"Myoblast"		"Myog"				"#8DBD8D"	
"Neural Crest I"		"Sox10"				"#9081FD"	
"Neural Crest II"		"Sox10, Sox2"				"#9081FD"	
"Neural crest neurons I"		"Tubb3, Elavl3, Tlx2"				"#DEA2DD"	
"Neural crest neurons II"		"Tubb3, Elavl3, Sox10"				"#DEA2DD"	
"Neural crest neurons III"		"Tubb3, Elavl3, Six1"				"#DEA2DD"	
"Skin"		"Krt8"				"#ABDBF7"	
"NULL"						"#E0EEEE"	
