domain;GM_id;Genes
dl5;9;Cdc42ep3,Grina,Mapre2,Pou2f2
dl5;10;Ascl1,Cdc25b,Dll1,Ezr,Grb10,Hes6,Msx3,Myo10,Notch1,Pax3,Pgpep1,Tfdp2,Vim
dl4;1;2700069I18Rik,Pbx3,Tle4,Zfhx3,Zfhx4
dl4;2;Cadm1,Cd47,ENSMUSG00000097348,Phlda1
dl4;3;Epha5,Klf7,Nefl,Nefm,Nell2,Ngfr,Nipsnap3b,Nova1,Nrp2,Samd5
dl4;4;Lhx1,Lhx1os,Zfhx2
dl4;5;Ankrd44,Fstl1,Gbx1,Lgi1,Mcc,Pdzrn3,Sall3
dl4;6;6030419C18Rik,Adgrl2,Chmp2b,Cntnap2,Mpped2,Npy,Pknox2,Runx1t1,Smarcd3,Socs2,Tmeff2,Tshz2,Unc5c
dl4;7;Ascl1,Dll1,Msx3,Ptf1a,Smoc1
dl4;8;Cdkn1c,Ebf1,Ebf2,Igsf8,Klhl35,Mfap4,Myo1b,Nhlh1,Nhlh2,Prox1,Rnd2,St18
dl4;9;E130114P18Rik,Gm3764,Ier5,Nfia,Nfib,Nfix,Tcf4
dl4;10;Btbd17,Btg2,Ezr,Gadd45g,Neurog2,Palld,Plk3,Rasl11b,Rhbdl3,Srrm4
dl4;11;Bcl11b,Gm17750,Lmo4,Neurod2,Neurod6
dl3;1;Epha5,Isl1,Map1b,Nefl,Nefm,Olfm1,Scrn1,Tbca
dl3;2;Meis2,Otp,Pbx1,Pou2f2,Pou3f1,Slc1a2,Zfhx2,Zfhx3,Zfhx4
dl3;3;Cbln1,Gm2694
dl3;4;Cacng2,Dpf1,Efna3,Inpp5f,Macf1,Nell2,Pbx3,Tshz3
dl3;5;Adam11,Adam19,Ccdc92,Clcn5,Cntn1,Creb5,Fam63b,Hip1,Hrk,Hs6st1,Ncoa7,Nkain3,Plxna4,Rgs10,Rims3,Rnf150,Shox2,Snx18,Spock2,Syn2,Tmem178b,Tmem65
dl3;6;Dll3,Miat,Nckap5,Neurog2,Olig3,Pou3f2,Pou3f4,Rhbdl3,Sstr2,Tfap2a,Tfap2b
dl3;7;Bcas1,Ebf2,Igsf8,Mir9-3hg,Neurod6,Nfib,Nfix,Prox1,Racgap1,St18,Tcf12,Tcf4
dl3;8;C130021I20Rik,Fstl5,Hoxb6,Nxph4,Prrxl1,Tlx3
dl3;9;2610001J05Rik,2810004N23Rik,Cks1b,Cotl1,Gng5,Grb10,Hes6,Nhp2,Ppib,Prdx1,Prdx6,Rai14,Rps27l,Snrpf,Tfdp2
dl3;10;Gm16104,Mreg,Nav2,Npr2,Pou4f1,Ppp1r17
dl2;1;Ccnd1,Hes5,Notch1,Nrarp,Pax3,Pax6,Rfx4,Sox2,Sox9,Zfp36l1
dl2;2;Btbd17,Cdkn1c,Cotl1,Dll3,Fam110a,Igsf8,Mfap4,Miat,Neurod4,Neurog2,Nhlh1,Nhlh2,Olig3,Plk3,Ppp1r14a,Spsb4,Trp53i11
dl2;3;C130021I20Rik,Car10,Mab21l1,Skor1,Tac1,Tcerg1l
dl2;4;Meis2,Pou2f2,Zfhx2,Zfhx3,Zfhx4
dl2;5;Nt5c3,Ogfrl1,Pbx3,Sox12,Srgap1
dl2;6;Nfia,Nfib,Nfix
dl2;7;Bcl11b,Ebf1,Ebf3,Gm17750,Gm3764,Hoxa7,Neurod2,Neurod6,Nrgn,Satb1
dl2;8;1700025G04Rik,Bhlhe23,Bub3,Cacna2d1,Cntn2,Crabp1,H3f3b,Hmx2,Hmx3,Igfbpl1,Map2,Pid1,Pou3f1,Robo3,Sox11,Tagln3,Tmsb4x,Tubb3
dl2;9;Foxp1,Foxp2,Mn1,Nrp2
dl1;1;Chmp2b,Cttnbp2,Kctd4,Lrrtm3,Reln,Robo2,Rprm,Sorcs3
dl1;2;Barhl2,Bcl11a,Gm28050,Meis2,Mn1,Pbx1,Pbx3,Pou3f1
dl1;3;Grin3a,Kif26b,Nr4a2,Pcdh9,Rgma,St6galnac5
dl1;4;1700025G04Rik,Adcyap1,Cblb,Crabp1,Ddah2,Ebf1,Elavl4,Epb41,Homer2,Hoxb6,Igfbpl1,Lhx2,Lrrn1,Myo1b,Nxph4,Pou4f1,Ptprg,Sptssa,St18,Tcf12,Tubb3,Uncx
dl1;5;Nfia,Nfib,Nfix
dl1;6;Dner,Enc1,Id2,Kctd12,Neurod2,Neurod6,Nrgn,Pid1,Podxl2,Spats2l,Synpr,Tmem178
dl1;7;2610001J05Rik,Atoh1,Barhl1,Cbfa2t2,Gadd45g,Hoxb3os,Insm1,Neurod4,Nkd1,Nr2f6,Rassf4,Selenom
dl1;8;Btbd17,Dll3,Ebf2,Eya2,Fam110a,Gm26801,Igfbp2,Igsf8,Mfng,Olig3,Plk3,Sstr2
